python-tqdm 4.67.3-1
python-traitlets 5.14.3-4
python-trio 0.33.0-1
python-typing_extensions 4.15.0-3
python-urllib3 2.6.3-1
python-wcwidth 0.6.0-1
python-webencodings 0.5.1-13
python-websocket-client 1.9.0-3
python-wheel 0.46.3-1
python-xlib 0.33-6
python-yaml 6.0.3-2
python-zipp 3.21.0-4
qemu-audio-alsa 10.2.2-1
qemu-audio-dbus 10.2.2-1
qemu-audio-jack 10.2.2-1
qemu-audio-oss 10.2.2-1
qemu-audio-pa 10.2.2-1
qemu-audio-pipewire 10.2.2-1
qemu-audio-sdl 10.2.2-1
qemu-audio-spice 10.2.2-1
qemu-base 10.2.2-1
qemu-block-curl 10.2.2-1
qemu-block-dmg 10.2.2-1
qemu-block-gluster 10.2.2-1
qemu-block-iscsi 10.2.2-1
qemu-block-nfs 10.2.2-1
qemu-block-ssh 10.2.2-1
qemu-chardev-baum 10.2.2-1
qemu-chardev-spice 10.2.2-1
qemu-common 10.2.2-1
qemu-desktop 10.2.2-1
qemu-docs 10.2.2-1
qemu-emulators-full 10.2.2-1
qemu-full 10.2.2-1
qemu-hw-display-qxl 10.2.2-1
qemu-hw-display-virtio-gpu 10.2.2-1
qemu-hw-display-virtio-gpu-gl 10.2.2-1
qemu-hw-display-virtio-gpu-pci 10.2.2-1
qemu-hw-display-virtio-gpu-pci-gl 10.2.2-1
